Index;Unit;Question_Number;Type_of_Question;Question;Answer;Distractor1;Distractor2;Distractor3
1;1. What is a computer system?;1;Multiple choice;Which of the following is not a feature of a computer system?;Checking;Input;Process;Output
2;1. What is a computer system?;2;True or False;The principle of a computer system is the same for any electrical device with a processor.;TRUE;;;
3;1. What is a computer system?;3;Multiple choice;The IPO model of a computer system refers to? ;Input, Process, Output;Input, Procedure, Output;Integer, Process, Output;Impress, Proper, Open
4;1. What is a computer system?;4;True or False;A computer processes data using instructions from a program.;TRUE;;;
5;1. What is a computer system?;5;Multiple choice;The physical components of a computer system is known as?;Hardware;Parts;Software;Bits
6;1. What is a computer system?;6;Multiple choice;The electrical instructions that control the operation of a computer system is known as?;Software;Hardware;Signals;Controls
7;1. What is a computer system?;7;True or False;Computer can make mistakes and work out the wrong outputs.;FALSE;;;
8;1. What is a computer system?;8;True or False;Users operating computer systems can introduce errors in the outputs.;TRUE;;;
9;1. What is a computer system?;9;Multiple choice;GIGO is the abbreviation for:;Garbage In, Garbage Out;General Input, General Output;Grand Instructions, Grand Outputs;Germany India, Geneva Oslo
10;1. What is a computer system?;10;Multiple choice;In addition to Input, Processing and Output, a computer system needs:;Storage;Paper;Disks;Instructions
11;2. Computers in the modern world;1;True or False;Computers can't go any faster.;FALSE;;;
12;2. Computers in the modern world;2;True or False;Computers are now being carried around in people's pockets.;TRUE;;;
13;2. Computers in the modern world;3;True or False;Online shopping has only good impacts on businesses.;FALSE;;;
14;2. Computers in the modern world;4;Multiple choice;What can't computers do yet?;Act independently;Drive a car;Fly a plane;Recognise faces 
15;2. Computers in the modern world;5;Multiple choice;AI is the abbreviation for;Artificial Intelligence;Actuator Incrementor;Adjust Inline;Action Input
16;2. Computers in the modern world;6;True or False;There are more networked devices in the world than people.;TRUE;;;
17;2. Computers in the modern world;7;True or False;There are more Facebook users than there are people in the USA.;TRUE;;;
18;2. Computers in the modern world;8;True or False;Everyone in the world can access the internet.;FALSE;;;
19;2. Computers in the modern world;9;True or False;Everything you read on the internet is true.;FALSE;;;
20;2. Computers in the modern world;10;True or False;1/3 of married couples in the USA met online.;TRUE;;;
21;3. Reliability of computer systems;1;True or False;Computers are 100% reliable.;FALSE;;;
22;3. Reliability of computer systems;2;True or False;It is often not possible to test every possible part of a computer system.;TRUE;;;
23;3. Reliability of computer systems;3;Multiple choice;Which of the following test types test the reliability of a system by real test users?;Beta;Alpha;Gamma;Delta
24;3. Reliability of computer systems;4;True or False;Reliability is the measure of how closely a system performs to its requirements.;TRUE;;;
25;3. Reliability of computer systems;5;True or False;Modern software is often 100% reliable.;FALSE;;;
26;3. Reliability of computer systems;6;Multiple choice;One measure of reliability is MTBF which is the abbreviation for:;Mean Time Between Failures;Most Total Basic Flops;Measurable Targets Brought Forward;Maximum Time Before Faults
27;3. Reliability of computer systems;7;True or False;Systems are often unreliable because the original specification for the project was wrong.;TRUE;;;
28;3. Reliability of computer systems;8;True or False;Reliability of systems increases over time.;FALSE;;;
29;3. Reliability of computer systems;9;Multiple choice;Systems can be made more reliable by adding:;Redundancies;Data;Users;More code
30;3. Reliability of computer systems;10;Multiple choice;Faults in an unreliable system can be corrected using:;Patches;Code;Adjustments;They can't be corrected!
31;4. Professional standards;1;True or False;Systems can be made more reliable by following standards.;TRUE;;;
32;4. Professional standards;2;Multiple choice;Proprietary standards are standards that are owned by:;Companies;Individuals;Teams;Everyone
33;4. Professional standards;3;True or False;Proprietary standards ensure systems work the same way.;TRUE;;;
34;4. Professional standards;4;True or False;Industry standards are needed to ensure different hardware developers use standard interconnections.;TRUE;;;
35;4. Professional standards;5;Multiple choice;De facto standards are those that:;Develop because everyone adopts a specific way of doing something.;Are generated from systems created in factories.;Are French computer standards.;Created by big software companies.
36;4. Professional standards;6;True or False;Open standards are controlled by the company that produced them.;FALSE;;;
37;4. Professional standards;7;Multiple choice;Which of these isn't an open standard?;Windows;TCP/IP;HTML;SMTP
38;4. Professional standards;8;True or False;The International Organisation for Standardisation (ISO) is responsible for producing worldwide standards.;TRUE;;;
39;4. Professional standards;9;Multiple choice;Which of the following is not an industry computing standard?;ZYZ;VGA;USB;DVI
40;4. Professional standards;10;True or False;Open standards are used for internet communication.;TRUE;;;
41;5. Ethical and environmental considerations;1;True or False;Ethical considerations are legally binding for companies.;FALSE;;;
42;5. Ethical and environmental considerations;2;True or False;Ethical standards are written for computing professionals to follow.;TRUE;;;
43;5. Ethical and environmental considerations;3;True or False;The rise of the internet has increased the number of ethical considerations companies need to follow.;TRUE;;;
44;5. Ethical and environmental considerations;4;True or False;Information posted about yourself on a social networking site is private to you.;FALSE;;;
45;5. Ethical and environmental considerations;5;True or False;Computer crime isn't as important as real-life crime.;FALSE;;;
46;5. Ethical and environmental considerations;6;Multiple choice;As computers become more widespread which of the following will not be an environmental consideration?;Deforestation;Energy consumption;Waste;
47;5. Ethical and environmental considerations;7;True or False;Computers are not recyclable.;FALSE;;;
48;5. Ethical and environmental considerations;8;True or False;The manufacture of one desktop computer uses more than 240 kilos of fossil fuels.;TRUE;;;
49;5. Ethical and environmental considerations;9;Multiple choice;Which of the following materials is not found in a computer?;Uranium;Lead;Arsenic;Mercury
50;5. Ethical and environmental considerations;10;True or False;Most electricity is wasted when a computer is left on but not used.;TRUE;;;
51;6. Legal considerations;1;Multiple choice;Which legislation is not related to computer use?;Parliament act;Data protection act;Computer misuse act;Design copyright and patents act
52;6. Legal considerations;2;True or False;Computer legislation stops people misusing computers.;FALSE;;;
53;6. Legal considerations;3;True or False;You can be prosecuted for illegally downloading music from the internet.;TRUE;;;
54;6. Legal considerations;4;Multiple choice;Which of the following is not outlined as a criminal offense in the Computer Misuse act?;Unauthorised lending of computer equipment;Unauthorised access to computer material;Unauthorised access with intent to commit further offences;Unauthorised modification of computer material
55;6. Legal considerations;5;True or False;The Computer Misuse Act applies to any one using computers anywhere in the world.;FALSE;;;
56;6. Legal considerations;6;True or False;Data stored in the cloud on USA-based servers can be legally accessed by the US government;TRUE;;;
57;6. Legal considerations;7;True or False;The Data Protection Act only applies to individuals.;FALSE;;;
58;6. Legal considerations;8;True or False;You can't be prosecuted under the Computer Misuse Act if someone uses an your account and you told them your password.;FALSE;;;
59;6. Legal considerations;9;True or False;An individual cannot find out what information a company holds about them.;FALSE;;;
60;6. Legal considerations;10;True or False;The Data Protection Act pushes companies to take better care of customer data.;TRUE;;;
;Computing hardware;;;;;;;
61;7. Purpose and function of the CPU;1;Multiple choice;CPU stands for;Central Processing Unit;Computer Processing Unit;Core Processing Unit;Central Power Unit
62;7. Purpose and function of the CPU;2;True or False;Without a CPU the computer would not work.;TRUE;;;
63;7. Purpose and function of the CPU;3;True or False;The CPU processes data;TRUE;;;
64;7. Purpose and function of the CPU;4;Multiple choice;The CPU would not work without the following component;RAM;Hard drive;USB memory stick;Graphics card
65;7. Purpose and function of the CPU;5;True or False;Computers only ever have 1 CPU;FALSE;;;
66;7. Purpose and function of the CPU;6;True or False;As soon as the computer is switches on the CPU begins processing data;TRUE;;;
67;7. Purpose and function of the CPU;7;Multiple choice;Which two main components make up a CPU;Control unit and Arithmetic Logic unit ;Control unit and Processing unit;Control unit and RAM;Flash storage and Arithmetic Logic unit 
68;7. Purpose and function of the CPU;8;Multiple choice;ALU stands for;Arithmetic Logic unit ;Arithmetic Legal unit ;Anti Logic unit ;Arithmetic Logic undo
69;7. Purpose and function of the CPU;9;True or False;The CPU needs access to the main memory and Cache memory;TRUE;;;
70;7. Purpose and function of the CPU;10;True or False;RAM is within the CPU;FALSE;;;
71;8. The fetch execute cycle;1;Multiple choice;The correct order is;Fetch, Decode, Execute;Decode, Execute, Fetch;Execute, Decode, Fetch;Decode, Fetch, Execute
72;8. The fetch execute cycle;2;True or False;Instructions are fetched from main memory;TRUE;;;
73;8. The fetch execute cycle;3;Multiple choice;Which part of the fetch execute cycle involves retrieving an instruction from a memory address;Fetch;Execute;Decode;
74;8. The fetch execute cycle;4;Multiple choice;Which part of the fetch execute cycle involves the CPU identifying the operation code (op-code) part of the instruction which;Decode;Fetch;Execute;
75;8. The fetch execute cycle;5;Multiple choice;Which part of the fetch execute cycle links together the parts of the CPU that are needed to carry out the instruction.;Execute;Decode;Fetch;
76;8. The fetch execute cycle;6;Multiple choice;An op-code;specifies an instruction to be carried out;specifies the data on which an operation is to be peformed;;
77;8. The fetch execute cycle;7;True or False;The fetch execute cycle runs continuously when the computer is turned on.;TRUE;;;
78;8. The fetch execute cycle;8;True or False;The address of the instruction is stored in the program counter;TRUE;;;
79;8. The fetch execute cycle;9;True or False;After an instruction is fetched, the program counter is updated so that the CPU knows the address of the next instruction to be fetched.;TRUE;;;
80;8. The fetch execute cycle;10;Multiple choice;During the fetch execute cycle, the CPU fetches, decodes and executes a _________;instruction;bit;token;message
81;9. Common characteristics of the CPU (clock speed);1;True or False;The system clock keeps everything synchronised inside the computer;TRUE;;;
82;9. Common characteristics of the CPU (clock speed);2;Multiple choice;Clock speed is measures in;hertz;bytes;bits;time
83;9. Common characteristics of the CPU (clock speed);3;Multiple choice;A computer measured in 1 hertz can do how many things a second;1;2;100;1000
84;9. Common characteristics of the CPU (clock speed);4;True or False;You can overclock a computer to make the processor run faster which increases the processing power.;TRUE;;;
85;9. Common characteristics of the CPU (clock speed);5;True or False;Overclocking can break your computer;TRUE;;;
86;9. Common characteristics of the CPU (clock speed);6;True or False;To achieve a stable overclock you may need to increase the voltage of the computer.;TRUE;;;
87;9. Common characteristics of the CPU (clock speed);7;Multiple choice;Which one of these is not true when overclocking;it will make your computer run cooler;it will speed up your computer;it may make your computer unstable;your computer may need more volts
88;9. Common characteristics of the CPU (clock speed);8;True or False;The rate of the fetch execute cycle depends on the clock speed.;TRUE;;;
89;9. Common characteristics of the CPU (clock speed);9;True or False;You can underclock a processor.;TRUE;;;
90;9. Common characteristics of the CPU (clock speed);10;True or False;Some processors cannot be overclocked;TRUE;;;
91;10. Cache memory - speeding up execution;1;True or False;The CPU cache is a memory buffer that sits between the hard drive and the main memory;FALSE;;;
92;10. Cache memory - speeding up execution;2;True or False;Cache memory temporarily stores data.;TRUE;;;
93;10. Cache memory - speeding up execution;3;True or False;CPU cache has lower access time than RAM;TRUE;;;
94;10. Cache memory - speeding up execution;4;Multiple choice;The CPU cache stores;Frequently accessed data and instructions;Only instructions;Word documents;A list of IP addresses
95;10. Cache memory - speeding up execution;5;True or False;The bigger the cache, the longer it takes to store instructions that the processor needs;FALSE;;;
96;10. Cache memory - speeding up execution;6;True or False;Having a larger cache size on the CPU can improve the performance of the computer.;TRUE;;;
97;10. Cache memory - speeding up execution;7;Multiple choice;Typical cache sizes range from about;512 KB to 8 MB;512 MB to 8 GB;2000 kB to 2000 GB;1 GB to 2 TB
98;10. Cache memory - speeding up execution;8;True or False;Multicore processors can have a separate cache for each core.;TRUE;;;
99;10. Cache memory - speeding up execution;9;True or False;A cache makes recently accessed data immediately available to the processor;TRUE;;;
100;10. Cache memory - speeding up execution;10;True or False;CPU cache memory is typically volatile;TRUE;;;
101;11. CPU cores;1;Multiple choice;In a processor, a core is;A single processor which can fetch and decode instructions;A type of RAM;The middle part of the CPU;A type of secondary storage
102;11. CPU cores;1;Multiple choice;Binary data is written as;1s and 0s;all number between 0 and 9;text only, no special charachters;images
103;11. CPU cores;2;Multiple choice;A quad core processor has how many cores;4;1;2;8
104;11. CPU cores;3;True or False;In a muti-core processor, there is always 1 core which is faster than the others.;FALSE;;;
105;11. CPU cores;4;Multiple choice;A processor with two cores is called a;dual core processor;quad core processor;double core processor;CPU x2
106;11. CPU cores;5;Multiple choice;A processor with 6 cores is called a;hex core processor;quad core processor;6 giga-core processor;super core processor
107;11. CPU cores;6;True or False;Some processors do not have a CPU core;FALSE;;;
108;11. CPU cores;7;True or False;You can upgrade your CPU core;FALSE;;;
109;11. CPU cores;8;True or False;The higher the number of cores, the better the performance of the computer.;TRUE;;;
110;11. CPU cores;9;True or False;A dual core processor will always process data faster than a single core processor;FALSE;;;
111;11. CPU cores;10;True or False;The overall rate of fetching and executing instructions is multiplied by the number of cores.;TRUE;;;
112;12. Binary data;1;Multiple choice;What is the output of NOT(A) if A = 1;0;1;;
113;12. Binary data;2;Multiple choice;8 in binary is;1000;101;1001;1010
114;12. Binary data;3;True or False;Binary only has two states, 1 or 0.;TRUE;;;
115;12. Binary data;4;True or False;8 bits = 1 byte;TRUE;;;
116;12. Binary data;5;True or False;1 bit = either a 1 or a 0;TRUE;;;
117;12. Binary data;6;Multiple choice;How many bytes are there in a megabyte?;1024;1050;100;124
118;12. Binary data;7;Multiple choice;Which one of these is an example of binary data;1001;1A;2;1002
